[784, 50, 30, 10]
60000 samples | time 66.10451041062673 minutes
100000 samples | time 123.43551558653513 minutes
200000 samples | time 269.2860161225001 minutes
400000 samples | time 554.946766102314 minutes
600000 samples | time 842.6182905077934 minutes
840000 samples | time 1186.1344524939855 minutes

[784, 85, 10]
60000 samples | time 119.32051236629486 minutes
100000 samples | time 226.0986837943395 minutes
200000 samples | time 485.5431567430496 minutes
400000 samples | time 959.7540401101112 minutes
600000 samples | time 1433.255762151877 minutes
840000 samples | time 2003.1072572231292 minutes

[784, 27, 27, 27, 10]
60000 samples | time 37.82455503940582 minutes
100000 samples | time 70.14256947835287 minutes
200000 samples | time 154.20886264642078 minutes
400000 samples | time 323.7763020515442 minutes
600000 samples | time 489.59775478839873 minutes
840000 samples | time 688.1068325082462 minutes
